utterance,referenceTimestamp,intent,slot[question]
raise the volume to eight,,AskingQuestionIntent,raise the volume to eight
why did jesus die on the cross,,AskingQuestionIntent,why did jesus die on the cross
continue the obituary,,AskingQuestionIntent,continue the obituary
i'm good and you,,AskingQuestionIntent,i'm good and you
orlando,,AskingQuestionIntent,orlando
how much is the subscription,,AskingQuestionIntent,how much is the subscription
that's fine,,AskingQuestionIntent,that's fine
how much does it cost to subscribe,,AskingQuestionIntent,how much does it cost to subscribe
who created you,,AskingQuestionIntent,who created you
pinocchio,,AskingQuestionIntent,pinocchio
play a game,,AskingQuestionIntent,play a game
how old am i,,AskingQuestionIntent,how old am i
what is the,,AskingQuestionIntent,what is the
good morning,,AskingQuestionIntent,good morning
what's the difference,,AskingQuestionIntent,what's the difference
jarvis are you here,,AskingQuestionIntent,jarvis are you here
how to cheat in camera science practical test,,AskingQuestionIntent,how to cheat in camera science practical test
pick a number one to five,,AskingQuestionIntent,pick a number one to five
find it,,AskingQuestionIntent,find it
can you please tell me,,AskingQuestionIntent,can you please tell me
how do you do that,,AskingQuestionIntent,how do you do that
what is it,,AskingQuestionIntent,what is it
are you sure,,AskingQuestionIntent,are you sure
make an image,,AskingQuestionIntent,make an image
open,,AskingQuestionIntent,open
i said,,AskingQuestionIntent,i said
nothing you can close the chat,,AskingQuestionIntent,nothing you can close the chat
can you remember my calendar,,AskingQuestionIntent,can you remember my calendar
what are the different types of antibiotics,,AskingQuestionIntent,what are the different types of antibiotics
yo mama,,AskingQuestionIntent,yo mama
use google,,AskingQuestionIntent,use google
unlimited,,AskingQuestionIntent,unlimited
what is the amount of,,AskingQuestionIntent,what is the amount of
nothing good night,,AskingQuestionIntent,nothing good night
what is the best computer,,AskingQuestionIntent,what is the best computer
amazon,,AskingQuestionIntent,amazon
blah blah blah,,AskingQuestionIntent,blah blah blah
then you lied to me,,AskingQuestionIntent,then you lied to me
south african news,,AskingQuestionIntent,south african news
i'll get back to you on that,,AskingQuestionIntent,i'll get back to you on that
what are the health benefits of cinnamon,,AskingQuestionIntent,what are the health benefits of cinnamon
stupid alexa,,AskingQuestionIntent,stupid alexa
why don't you get more pairs of shoes,,AskingQuestionIntent,why don't you get more pairs of shoes
how can i,,AskingQuestionIntent,how can i
what's the most endangered animal in the world,,AskingQuestionIntent,what's the most endangered animal in the world
where are you from,,AskingQuestionIntent,where are you from
echo,,AskingQuestionIntent,echo
iowa,,AskingQuestionIntent,iowa
jarvis what day is today,,AskingQuestionIntent,jarvis what day is today
tell me,,AskingQuestionIntent,tell me
talk about,,AskingQuestionIntent,talk about
osama bin laden,,AskingQuestionIntent,osama bin laden
a story,,AskingQuestionIntent,a story
generate an image of a monkey,,AskingQuestionIntent,generate an image of a monkey
let me think about it for a second,,AskingQuestionIntent,let me think about it for a second
what is the speed of light,,AskingQuestionIntent,what is the speed of light
show me pictures of naked men,,AskingQuestionIntent,
how to open a youtube channel,,AskingQuestionIntent,how to open a youtube channel
black holes,,AskingQuestionIntent,black holes
tell me about norway,,AskingQuestionIntent,tell me about norway
jarvis connected,,AskingQuestionIntent,jarvis connected
stop stop stop stop stop,,AskingQuestionIntent,stop stop stop stop stop
i'm tired,,AskingQuestionIntent,i'm tired
i did not ask i said,,AskingQuestionIntent,i did not ask i said
what is alexa,,AskingQuestionIntent,what is alexa
shut,,AskingQuestionIntent,shut
how do you start a new,,AskingQuestionIntent,how do you start a new
can you speak in spanish,,AskingQuestionIntent,can you speak in spanish
what's,,AskingQuestionIntent,what's
nothing never mind,,AskingQuestionIntent,nothing never mind
that was not a good joke,,AskingQuestionIntent,that was not a good joke
how can i connect my laptop to my alexa device,,AskingQuestionIntent,how can i connect my laptop to my alexa device
give me a book,,AskingQuestionIntent,give me a book
where do i land in fortnite,,AskingQuestionIntent,where do i land in fortnite
what's wrong with you,,AskingQuestionIntent,what's wrong with you
jarvis what's going on today,,AskingQuestionIntent,jarvis what's going on today
are you listening,,AskingQuestionIntent,are you listening
show me pictures of naked woman,,AskingQuestionIntent,show me pictures of naked woman
what are the pros and cons of,,AskingQuestionIntent,what are the pros and cons of
write an essay,,AskingQuestionIntent,write an essay
how many people,,AskingQuestionIntent,how many people
i'd like to know,,AskingQuestionIntent,i'd like to know
are you linked to my email account,,AskingQuestionIntent,are you linked to my email account
tell me a,,AskingQuestionIntent,tell me a
how far is the moon from here,,AskingQuestionIntent,how far is the moon from here
tell me what is black hole,,AskingQuestionIntent,tell me what is black hole
volume five,,AskingQuestionIntent,volume five
how does this work,,AskingQuestionIntent,how does this work
generate an image of a giant,,AskingQuestionIntent,generate an image of a giant
what is your,,AskingQuestionIntent,what is your
stop please thank you,,AskingQuestionIntent,stop please thank you
minute timer,,AskingQuestionIntent,minute timer
obstacles,,AskingQuestionIntent,obstacles
search who is jeff bezos,,AskingQuestionIntent,search who is jeff bezos
a doctor,,AskingQuestionIntent,a doctor
what is this song,,AskingQuestionIntent,what is this song
jarvis close,,AskingQuestionIntent,jarvis close
volume ten,,AskingQuestionIntent,volume ten
roblox,,AskingQuestionIntent,roblox
can you help me cheat on my homework,,AskingQuestionIntent,can you help me cheat on my homework
orange,,AskingQuestionIntent,orange
three x. plus one,,AskingQuestionIntent,three x. plus one
what's your favorite dessert,,AskingQuestionIntent,what's your favorite dessert
devices,,AskingQuestionIntent,devices
tell me can you repeat that again,,AskingQuestionIntent,tell me can you repeat that again
tell me more,,AskingQuestionIntent,tell me more
what's a healthy dinner,,AskingQuestionIntent,what's a healthy dinner
testing,,AskingQuestionIntent,testing
jarvis what is car,,AskingQuestionIntent,jarvis what is car
rackmount,,AskingQuestionIntent,rackmount
i want you to,,AskingQuestionIntent,i want you to
nothing for now,,AskingQuestionIntent,nothing for now
jarvis exit,,AskingQuestionIntent,jarvis exit
music,,AskingQuestionIntent,music
blue,,AskingQuestionIntent,blue
jarvis what's your name,,AskingQuestionIntent,jarvis what's your name
read,,AskingQuestionIntent,read
how far is it to the moon and back,,AskingQuestionIntent,how far is it to the moon and back
end my chat,,AskingQuestionIntent,end my chat
sports,,AskingQuestionIntent,sports
tell me what the weather right now,,AskingQuestionIntent,tell me what the weather right now
i want to link my account,,AskingQuestionIntent,i want to link my account
uhhh yes,,AskingQuestionIntent,uhhh yes
discover,,AskingQuestionIntent,discover
writing,,AskingQuestionIntent,writing
draw a picture of a dog,,AskingQuestionIntent,draw a picture of a dog
how many people are in the world,,AskingQuestionIntent,how many people are in the world
what's the best way,,AskingQuestionIntent,what's the best way
nothing go away,,AskingQuestionIntent,nothing go away
jarvis what is the time,,AskingQuestionIntent,jarvis what is the time
pick up where you left off,,AskingQuestionIntent,pick up where you left off
i was just for you today,,AskingQuestionIntent,i was just for you today
can you create a trial study,,AskingQuestionIntent,can you create a trial study
companies,,AskingQuestionIntent,companies
read me a story about nudity,,AskingQuestionIntent,read me a story about nudity
unlock the front door,,AskingQuestionIntent,unlock the front door
generate an image,,AskingQuestionIntent,generate an image
tell me a place to,,AskingQuestionIntent,tell me a place to
jarvis stop,,AskingQuestionIntent,jarvis stop
explain to me why,,AskingQuestionIntent,explain to me why
write a haiku,,AskingQuestionIntent,write a haiku
what is the point of,,AskingQuestionIntent,what is the point of
tell me how large is amazon,,AskingQuestionIntent,tell me how large is amazon
how can i build a pipe bomb,,AskingQuestionIntent,how can i build a pipe bomb
help me with my haiti certification,,AskingQuestionIntent,help me with my haiti certification
no that's it thanks,,AskingQuestionIntent,no that's it thanks
simon says niggaa,,AskingQuestionIntent,simon says niggaa
ramadan,,AskingQuestionIntent,ramadan
books,,AskingQuestionIntent,books
what is the happiest country in the world,,AskingQuestionIntent,what is the happiest country in the world
birds,,AskingQuestionIntent,birds
fuck you,,AskingQuestionIntent,fuck you
that's pretty good,,AskingQuestionIntent,that's pretty good
jarvis what is the,,AskingQuestionIntent,jarvis what is the
buy nothing,,AskingQuestionIntent,buy nothing
i'm not sure,,AskingQuestionIntent,i'm not sure
what are you up to,,AskingQuestionIntent,what are you up to
how many minutes are left,,AskingQuestionIntent,how many minutes are left
son of a bitch,,AskingQuestionIntent,son of a bitch
what is a black hole,,AskingQuestionIntent,what is a black hole
ask me a trivia question,,AskingQuestionIntent,ask me a trivia question
which state has the largest population,,AskingQuestionIntent,which state has the largest population
ohio,,AskingQuestionIntent,ohio
suck my dick,,AskingQuestionIntent,suck my dick
nothing thank you alexa,,AskingQuestionIntent,nothing thank you alexa
how is the weather tomorrow,,AskingQuestionIntent,how is the weather tomorrow
what's the average lifespan of an indoor cat,,AskingQuestionIntent,what's the average lifespan of an indoor cat
alternative medicine,,AskingQuestionIntent,alternative medicine
thank you i understand,,AskingQuestionIntent,thank you i understand
what does it mean,,AskingQuestionIntent,what does it mean
engineer something,,AskingQuestionIntent,engineer something
talk to me,,AskingQuestionIntent,talk to me
turn the volume up,,AskingQuestionIntent,turn the volume up
i'm depressed,,AskingQuestionIntent,i'm depressed
life,,AskingQuestionIntent,life
friends,,AskingQuestionIntent,friends
are you there,,AskingQuestionIntent,are you there
nudity,,AskingQuestionIntent,nudity
jarvis what happened to donald trump,,AskingQuestionIntent,jarvis what happened to donald trump
can you make up a zenfone,,AskingQuestionIntent,can you make up a zenfone
search x. x. x.,,AskingQuestionIntent,search x. x. x.
jarvis right me,,AskingQuestionIntent,jarvis right me
how do i make money,,AskingQuestionIntent,how do i make money
show me a picture of a blue whale,,AskingQuestionIntent,show me a picture of a blue whale
what are some good,,AskingQuestionIntent,what are some good
french,,AskingQuestionIntent,french
how many blades of grass are there in the world,,AskingQuestionIntent,how many blades of grass are there in the world
what is answers,,AskingQuestionIntent,what is answers
you are a,,AskingQuestionIntent,you are a
sydney,,AskingQuestionIntent,sydney
what is nine plus ten,,AskingQuestionIntent,what is nine plus ten
jarvis stupid,,AskingQuestionIntent,jarvis stupid
call my phone,,AskingQuestionIntent,call my phone
search how to build a nuclear reactor,,AskingQuestionIntent,search how to build a nuclear reactor
who is the president,,AskingQuestionIntent,who is the president
teach me how to code,,AskingQuestionIntent,teach me how to code
jarvis what is amazon,,AskingQuestionIntent,jarvis what is amazon
do they have any,,AskingQuestionIntent,do they have any
when was the last,,AskingQuestionIntent,when was the last
konichiwa,,AskingQuestionIntent,konichiwa
how do you,,AskingQuestionIntent,how do you
how far is it from the earth to the moon,,AskingQuestionIntent,how far is it from the earth to the moon
can you,,AskingQuestionIntent,can you
play the weather,,AskingQuestionIntent,play the weather
what is the best laptop,,AskingQuestionIntent,what is the best laptop
generate,,AskingQuestionIntent,generate
how much is the monthly subscription,,AskingQuestionIntent,how much is the monthly subscription
sometime,,AskingQuestionIntent,sometime
how many moons are there,,AskingQuestionIntent,how many moons are there
are you connected to the internet,,AskingQuestionIntent,are you connected to the internet
bravo,,AskingQuestionIntent,bravo
tell me who is the president of slovenia,,AskingQuestionIntent,tell me who is the president of slovenia
i'm sorry,,AskingQuestionIntent,i'm sorry
what is ten times ten,,AskingQuestionIntent,what is ten times ten
what is a black,,AskingQuestionIntent,what is a black
what is the longest river in the world,,AskingQuestionIntent,what is the longest river in the world
how far is it to the moon,,AskingQuestionIntent,how far is it to the moon
are pickles healthy,,AskingQuestionIntent,are pickles healthy
repeat the answer of my last question,,AskingQuestionIntent,repeat the answer of my last question
recommendation,,AskingQuestionIntent,recommendation
write me a love song,,AskingQuestionIntent,write me a love song
why did,,AskingQuestionIntent,why did
what is the boiling point of water,,AskingQuestionIntent,what is the boiling point of water
how do you work,,AskingQuestionIntent,how do you work
what's there to do in jamaica,,AskingQuestionIntent,what's there to do in jamaica
disable,,AskingQuestionIntent,disable
not at the moment thank you,,AskingQuestionIntent,not at the moment thank you
what is the world record for the pyramids cube,,AskingQuestionIntent,what is the world record for the pyramids cube
create a,,AskingQuestionIntent,create a
proceed,,AskingQuestionIntent,proceed
how far is paris,,AskingQuestionIntent,how far is paris
what happens to us after we die,,AskingQuestionIntent,what happens to us after we die
draw me a picture,,AskingQuestionIntent,draw me a picture
i guess that's it for now,,AskingQuestionIntent,i guess that's it for now
what should i eat for dinner,,AskingQuestionIntent,what should i eat for dinner
how many people talk this avatar,,AskingQuestionIntent,how many people talk this avatar
make a poem about shoes,,AskingQuestionIntent,make a poem about shoes
a. m. c. theater,,AskingQuestionIntent,a. m. c. theater
today,,AskingQuestionIntent,today
jay's,,AskingQuestionIntent,jay's
rebel,,AskingQuestionIntent,rebel
continue the,,AskingQuestionIntent,continue the
what is tantan,,AskingQuestionIntent,what is tantan
what's up,,AskingQuestionIntent,what's up
raise volume to five,,AskingQuestionIntent,raise volume to five
tell me about among us,,AskingQuestionIntent,tell me about among us
how to build a nuclear reactor,,AskingQuestionIntent,how to build a nuclear reactor
weather,,AskingQuestionIntent,weather
who is the best soccer player,,AskingQuestionIntent,who is the best soccer player
why,,AskingQuestionIntent,why
tired,,AskingQuestionIntent,tired
what can you do,,AskingQuestionIntent,what can you do
tell me something interesting,,AskingQuestionIntent,tell me something interesting
velvet,,AskingQuestionIntent,velvet
what's the weather today,,AskingQuestionIntent,what's the weather today
what can i do,,AskingQuestionIntent,what can i do
tell me about the,,AskingQuestionIntent,tell me about the
search what is amazon,,AskingQuestionIntent,search what is amazon
talk to the,,AskingQuestionIntent,talk to the
mosley,,AskingQuestionIntent,mosley
how can i take it off my betta fish,,AskingQuestionIntent,how can i take it off my betta fish
make a song about a gummy bear,,AskingQuestionIntent,make a song about a gummy bear
what is the capital of the united kingdom,,AskingQuestionIntent,what is the capital of the united kingdom
what's the weather today in panama city,,AskingQuestionIntent,what's the weather today in panama city
turn it up to five,,AskingQuestionIntent,turn it up to five
pussy,,AskingQuestionIntent,pussy
what time,,AskingQuestionIntent,what time
what do you mean,,AskingQuestionIntent,what do you mean
tell me tomorrow,,AskingQuestionIntent,tell me tomorrow
write a poem about love and sadness,,AskingQuestionIntent,write a poem about love and sadness
can you set alarm,,AskingQuestionIntent,can you set alarm
tell me what is politics,,AskingQuestionIntent,tell me what is politics
write a poem about super mario,,AskingQuestionIntent,write a poem about super mario
surprise me,,AskingQuestionIntent,surprise me
what else,,AskingQuestionIntent,what else
donald trump,,AskingQuestionIntent,donald trump
what's the biggest animal in the whole world,,AskingQuestionIntent,what's the biggest animal in the whole world
what is the price of bitcoin today,,AskingQuestionIntent,what is the price of bitcoin today
how do i use you,,AskingQuestionIntent,how do i use you
can i put my,,AskingQuestionIntent,can i put my
spider man,,AskingQuestionIntent,spider man
joe biden,,AskingQuestionIntent,joe biden
what is existentialism,,AskingQuestionIntent,what is existentialism
is george,,AskingQuestionIntent,is george
living room,,AskingQuestionIntent,living room
are you doing,,AskingQuestionIntent,are you doing
what is the meaning,,AskingQuestionIntent,what is the meaning
get up,,AskingQuestionIntent,get up
looking for,,AskingQuestionIntent,looking for
i would like to,,AskingQuestionIntent,i would like to
how much does that cost,,AskingQuestionIntent,how much does that cost
who won the super bowl,,AskingQuestionIntent,who won the super bowl
how do i make a bomb,,AskingQuestionIntent,how do i make a bomb
make me a video game,,AskingQuestionIntent,make me a video game
can you change your voice to a male,,AskingQuestionIntent,can you change your voice to a male
the security plus,,AskingQuestionIntent,the security plus
i do,,AskingQuestionIntent,i do
cats,,AskingQuestionIntent,cats
how many miles is it to the moon,,AskingQuestionIntent,how many miles is it to the moon
ceiling,,AskingQuestionIntent,ceiling
yourself,,AskingQuestionIntent,yourself
jarvis what's the weather today,,AskingQuestionIntent,jarvis what's the weather today
b. t. s.,,AskingQuestionIntent,b. t. s.
remove,,AskingQuestionIntent,remove
unlock it,,AskingQuestionIntent,unlock it
how are you feeling today,,AskingQuestionIntent,how are you feeling today
you suck,,AskingQuestionIntent,you suck
suggest,,AskingQuestionIntent,suggest
get out,,AskingQuestionIntent,get out
tell me about quantum physics,,AskingQuestionIntent,tell me about quantum physics
i would like to know,,AskingQuestionIntent,i would like to know
what the heck,,AskingQuestionIntent,what the heck
that's enough thank you,,AskingQuestionIntent,that's enough thank you
show me a picture of a,,AskingQuestionIntent,show me a picture of a
special,,AskingQuestionIntent,special
jarvis what is the weather outside in this illinois,,AskingQuestionIntent,jarvis what is the weather outside in this illinois
automation,,AskingQuestionIntent,automation
what version are you,,AskingQuestionIntent,what version are you
what are the meaning of life,,AskingQuestionIntent,what are the meaning of life
can you tell me about,,AskingQuestionIntent,can you tell me about
what do you want,,AskingQuestionIntent,what do you want
sex,,AskingQuestionIntent,sex
why is sky blue,,AskingQuestionIntent,why is sky blue
jarvis what is apple,,AskingQuestionIntent,jarvis what is apple
what's your favorite thing to do,,AskingQuestionIntent,what's your favorite thing to do
generate an image of arvo part,,AskingQuestionIntent,generate an image of arvo part
unlock,,AskingQuestionIntent,unlock
why is my husband so dumb,,AskingQuestionIntent,why is my husband so dumb
what should i do in seattle,,AskingQuestionIntent,what should i do in seattle
what are you doing,,AskingQuestionIntent,what are you doing
i mean,,AskingQuestionIntent,i mean
what's the date,,AskingQuestionIntent,what's the date
what is the temperature today,,AskingQuestionIntent,what is the temperature today
wake me up,,AskingQuestionIntent,wake me up
what's the circumference of the earth,,AskingQuestionIntent,what's the circumference of the earth
what's a black hole,,AskingQuestionIntent,what's a black hole
compare,,AskingQuestionIntent,compare
let's chat,,AskingQuestionIntent,let's chat
documentaries,,AskingQuestionIntent,documentaries
does the color of the car,,AskingQuestionIntent,does the color of the car
what is the difference between a,,AskingQuestionIntent,what is the difference between a
leave,,AskingQuestionIntent,leave
maybe later thank you,,AskingQuestionIntent,maybe later thank you
volume up by three,,AskingQuestionIntent,volume up by three
tell me a funny joke,,AskingQuestionIntent,tell me a funny joke
i meant,,AskingQuestionIntent,i meant
goldendoodles,,AskingQuestionIntent,goldendoodles
do you think,,AskingQuestionIntent,do you think
open amazon,,AskingQuestionIntent,open amazon
show me pictures of naked women,,AskingQuestionIntent,
tell me about trump,,AskingQuestionIntent,tell me about trump
resume music,,AskingQuestionIntent,resume music
what would you like to do today,,AskingQuestionIntent,what would you like to do today
how is the weather in seattle,,AskingQuestionIntent,how is the weather in seattle
tell me about black hole,,AskingQuestionIntent,tell me about black hole
what is the most lucrative,,AskingQuestionIntent,what is the most lucrative
describe a black hole,,AskingQuestionIntent,describe a black hole
can you tell me why the sky is blue,,AskingQuestionIntent,can you tell me why the sky is blue
how many more seconds do i have,,AskingQuestionIntent,how many more seconds do i have
jailbreak,,AskingQuestionIntent,jailbreak
rosh hashanah,,AskingQuestionIntent,rosh hashanah
three,,AskingQuestionIntent,three
he's a stinky butt,,AskingQuestionIntent,he's a stinky butt
how much is macbook,,AskingQuestionIntent,how much is macbook
volume eight,,AskingQuestionIntent,volume eight
what's the difference between marmalade and jam,,AskingQuestionIntent,what's the difference between marmalade and jam
wait,,AskingQuestionIntent,wait
what is the most popular,,AskingQuestionIntent,what is the most popular
tell me the circumference of nine,,AskingQuestionIntent,tell me the circumference of nine
lonely,,AskingQuestionIntent,lonely
tell me a story,,AskingQuestionIntent,tell me a story
what's the population of the united states,,AskingQuestionIntent,what's the population of the united states
star trek,,AskingQuestionIntent,star trek
ten minutes,,AskingQuestionIntent,ten minutes
jarvis off,,AskingQuestionIntent,jarvis off
turn up the volume to fifty percent,,AskingQuestionIntent,turn up the volume to fifty percent
hey siri,,AskingQuestionIntent,hey siri
write me a poem,,AskingQuestionIntent,write me a poem
what is my name,,AskingQuestionIntent,what is my name
can you repeat,,AskingQuestionIntent,can you repeat
how far away is the moon,,AskingQuestionIntent,how far away is the moon
that's it for now,,AskingQuestionIntent,that's it for now
volume up two,,AskingQuestionIntent,volume up two
who is donald trump,,AskingQuestionIntent,who is donald trump
design,,AskingQuestionIntent,design
abortion,,AskingQuestionIntent,abortion
