utterance,referenceTimestamp,intent,slot[question],slot[monthly_or_yearly]
can you tell me a story,,AskingQuestionIntent,can you tell me a story,
tell me about,,AskingQuestionIntent,tell me about,
nothing right now thank you,,AMAZON.StopIntent,,
Jarvis what time is it,,AskingQuestionIntent,Jarvis what time is it,
turn it off,,AMAZON.StopIntent,,
how are you today,,AskingQuestionIntent,how are you today,
end,,AMAZON.StopIntent,,
can you hear me,,AskingQuestionIntent,can you hear me,
computer,,AskingQuestionIntent,computer,
i'm done,,AMAZON.StopIntent,,
give me a joke,,AskingQuestionIntent,give me a joke,
what is a,,AskingQuestionIntent,what is a,
nothing thank you,,AMAZON.StopIntent,,
Jarvis,,AskingQuestionIntent,Jarvis,
tell me about,,AskingQuestionIntent,tell me about,
well,,AskingQuestionIntent,well,
why is sky is blue,,AskingQuestionIntent,why is sky is blue,
no thanks,,AMAZON.NoIntent,,
yeah,,AMAZON.YesIntent,,
what is the meaning of life,,AskingQuestionIntent,what is the meaning of life,
stop alexa stop,,AMAZON.StopIntent,,
what is the tallest building in the world,,AskingQuestionIntent,what is the tallest building in the world,
tell me a story,,AskingQuestionIntent,tell me a story,
play music,,AskingQuestionIntent,play music,
stop it,,AMAZON.StopIntent,,
how many people in the world,,AskingQuestionIntent,how many people in the world,
good night,,AskingQuestionIntent,good night,
how old are you,,AskingQuestionIntent,how old are you,
search,,AskingQuestionIntent,search,
what is your name,,AskingQuestionIntent,what is your name,
the weather,,AskingQuestionIntent,the weather,
turn off music,,AskingQuestionIntent,turn off music,
thanks,,AMAZON.StopIntent,,
is,,AskingQuestionIntent,is,
how is the weather today,,AskingQuestionIntent,how is the weather today,
monthly,,AskingQuestionIntent,monthly,
books,,AskingQuestionIntent,books,
tell me more,,AskingQuestionIntent,tell me more,
interesting,,AskingQuestionIntent,interesting,
chavez,,AskingQuestionIntent,chavez,
go to sleep,,AMAZON.StopIntent,,
stop music,,AskingQuestionIntent,stop music,
more,,AskingQuestionIntent,more,
right,,AMAZON.YesIntent,,
stop alexa,,AMAZON.StopIntent,,
what's the price,,AskingQuestionIntent,what's the price,
spotify,,AskingQuestionIntent,spotify,
how will the world end,,AskingQuestionIntent,how will the world end,
hang up,,AskingQuestionIntent,hang up,
how do you jump,,AskingQuestionIntent,how do you jump,
yes please,,AMAZON.YesIntent,,
wow,,AskingQuestionIntent,wow,
repeat,,AskingQuestionIntent,repeat,
no no,,AMAZON.NoIntent,,
how's the weather today,,AskingQuestionIntent,how's the weather today,
what is machine learning,,AskingQuestionIntent,what is machine learning,
what is this,,AskingQuestionIntent,what is this,
how much,,AskingQuestionIntent,how much,
what are you,,AskingQuestionIntent,what are you,
Jarvis no,,AskingQuestionIntent,Jarvis no,
volume down two,,AskingQuestionIntent,volume down 2,
i love you,,AskingQuestionIntent,i love you,
what is iron man,,AskingQuestionIntent,what is iron man,
how can I commit suicide,,AskingQuestionIntent,how can I commit suicide,
make a,,AskingQuestionIntent,make a,
let's chat,,AskingQuestionIntent,let's chat,
money,,AskingQuestionIntent,money,
repeat what you just said,,AskingQuestionIntent,repeat what you just said,
before,,AskingQuestionIntent,before,
Jarvis hello,,AskingQuestionIntent,Jarvis hello,
hola,,AskingQuestionIntent,hola,
Jarvis what is,,AskingQuestionIntent,Jarvis what is,
what's the time,,AskingQuestionIntent,what's the time,
good,,AskingQuestionIntent,good,
chat,,AskingQuestionIntent,chat,
give me a minute,,AskingQuestionIntent,give me a minute,
Jarvis what is iron man,,AskingQuestionIntent,Jarvis what is iron man,
fortnite,,AskingQuestionIntent,fortnite,
what is one plus one,,AskingQuestionIntent,what is 1 plus 1,
why are you not working,,AskingQuestionIntent,why are you not working,
bye-bye,,AMAZON.StopIntent,,
nothing else,,AMAZON.StopIntent,,
cool,,AskingQuestionIntent,cool,
what's the weather,,AskingQuestionIntent,what's the weather,
ok never mind,,AskingQuestionIntent,ok never mind,
jaundice,,AskingQuestionIntent,jaundice,
what's the,,AskingQuestionIntent,what's the,
disconnect,,AMAZON.StopIntent,,
no stop,,AMAZON.StopIntent,,
play music I like,,AskingQuestionIntent,play music I like,
what is two plus two,,AskingQuestionIntent,what is 2 plus 2,
can you tell me,,AskingQuestionIntent,can you tell me,
power off,,AMAZON.StopIntent,,
no thanks,,AMAZON.NoIntent,,
sing a song,,AskingQuestionIntent,sing a song,
how to cook pasta,,AskingQuestionIntent,how to cook pasta,
let's play,,AskingQuestionIntent,let's play,
are you there,,AskingQuestionIntent,are you there,
that's enough,,AMAZON.StopIntent,,
go to home,,AMAZON.NavigateHomeIntent,,
ok thank you,,AMAZON.YesIntent,,
do you speak spanish,,AskingQuestionIntent,do you speak spanish,
what is your favorite song,,AskingQuestionIntent,what is your favorite song,
c.,,AskingQuestionIntent,c.,
josh,,AskingQuestionIntent,josh,
what's the weather today,,AskingQuestionIntent,what's the weather today,
love,,AskingQuestionIntent,love,
Jarvis what's the weather,,AskingQuestionIntent,Jarvis what's the weather,
tell me a joke,,AskingQuestionIntent,tell me a joke,
can you tell me,,AskingQuestionIntent,can you tell me,
what's your name,,AskingQuestionIntent,what's your name,
charges,,AskingQuestionIntent,charges,
anything,,AskingQuestionIntent,anything,
what is the price,,AskingQuestionIntent,what is the price,
how are you,,AskingQuestionIntent,how are you,
echo,,AskingQuestionIntent,echo,
thank you jarvis,,AMAZON.StopIntent,,
go away,,AMAZON.StopIntent,,
that's all thank you,,AMAZON.StopIntent,,
that's all for now,,AMAZON.StopIntent,,
no thank you no thank you,,AMAZON.NoIntent,,
who is,,AskingQuestionIntent,who is,
makeup,,AskingQuestionIntent,makeup,
finish the story,,AskingQuestionIntent,finish the story,
how do,,AskingQuestionIntent,how do,
home screen,,AMAZON.NavigateHomeIntent,,
disconnect,,AMAZON.StopIntent,,
who is iron man,,AskingQuestionIntent,who is iron man,
how many,,AskingQuestionIntent,how many,
can you repeat,,AskingQuestionIntent,can you repeat,
blood type,,AskingQuestionIntent,blood type,
volume four,,AskingQuestionIntent,volume 4,
please,,AskingQuestionIntent,please,
turn off the music,,AskingQuestionIntent,turn off the music,
charlie's,,AskingQuestionIntent,charlie's,
options,,AskingQuestionIntent,options,
fun,,AskingQuestionIntent,fun,
how much is the yearly subscription,,AskingQuestionIntent,how much is the yearly subscription,
how do you make a paper airplane,,AskingQuestionIntent,how do you make a paper airplane,
clean my room,,AskingQuestionIntent,clean my room,
search u. s. a.,,AskingQuestionIntent,search u. s. a.,
what is the name,,AskingQuestionIntent,what is the name,
turn the volume to twenty five percent,,AskingQuestionIntent,turn the volume to 25 percent,
pig,,AskingQuestionIntent,pig,
up attending,,AskingQuestionIntent,up attending,
turn the turn the volume up to ten,,AskingQuestionIntent,turn the turn the volume up to ten,
latest,,AskingQuestionIntent,latest,
stop alexa go home,,AMAZON.NavigateHomeIntent,,
give me a recipe,,AskingQuestionIntent,give me a recipe,
scroll down,,AskingQuestionIntent,scroll down,
ok give me some information about,,AskingQuestionIntent,OK give me some information about,
where,,AskingQuestionIntent,where,
astro,,AskingQuestionIntent,astro,
monthly subscription,,BuySubIntent,,monthly
ham,,AskingQuestionIntent,ham,
hell no,,AskingQuestionIntent,hell no,
cheeto's,,AskingQuestionIntent,cheeto's,
i don't know you tell me,,AskingQuestionIntent,i don't know you tell me,
what's the date today,,AskingQuestionIntent,what's the date today,
go back home,,AMAZON.NavigateHomeIntent,,
how can I prepare a orange cake,,AskingQuestionIntent,how can I prepare a orange cake,
never mind i'll talk to you stop,,AskingQuestionIntent,never mind i'll talk to you stop,
einstein's theory of relativity,,AskingQuestionIntent,einstein's theory of relativity,
volume six,,AskingQuestionIntent,volume 6,
what is the population of vatican city,,AskingQuestionIntent,what is the population of vatican city,
write me a poem about springtime,,AskingQuestionIntent,write me a poem about springtime,
science,,AskingQuestionIntent,science,
wow,,AskingQuestionIntent,wow,
what do you think,,AskingQuestionIntent,what do you think,
llama llama,,AskingQuestionIntent,llama llama,
blindness,,AskingQuestionIntent,blindness,
how much is zero divided by zero,,AskingQuestionIntent,how much is zero divided by zero,
how many u. s. senators are there,,AskingQuestionIntent,how many u. s. senators are there,
what do I talk to,,AskingQuestionIntent,what do I talk to,
nothing else thank you,,AMAZON.StopIntent,,
set volume to six,,AskingQuestionIntent,set volume to 6,
quantum mechanics,,AskingQuestionIntent,quantum mechanics,
i'm talking to you,,AskingQuestionIntent,i'm talking to you,
what are the best ingredients for buffalo chicken wings,,AskingQuestionIntent,what are the best ingredients for buffalo chicken wings,
tell me a little bit about yourself,,AskingQuestionIntent,tell me a little bit about yourself,
tell me about the universe,,AskingQuestionIntent,tell me about the universe,
tell me a poem,,AskingQuestionIntent,tell me a poem,
how do I get rid of carpenter bees,,AskingQuestionIntent,how do I get rid of carpenter bees,
animation,,AskingQuestionIntent,animation,
fly,,AskingQuestionIntent,fly,
subscription,,AskingQuestionIntent,subscription,
how to,,AskingQuestionIntent,how to,
lateera,,AskingQuestionIntent,lateera,
who's your favorite team,,AskingQuestionIntent,who's your favorite team,
how can I change Alexa's voice into Jarvis,,AskingQuestionIntent,how can I change Alexa's voice into Jarvis,
what's the time now,,AskingQuestionIntent,what's the time now,
play my friend,,AskingQuestionIntent,play my friend,
office,,AskingQuestionIntent,office,
add,,AskingQuestionIntent,add,
got it,,AskingQuestionIntent,got it,
yo'mama,,AskingQuestionIntent,yo'mama,
history,,AskingQuestionIntent,history,
tardis,,AskingQuestionIntent,tardis,
next question,,AskingQuestionIntent,next question,
pussy,,AskingQuestionIntent,pussy,
about food,,AskingQuestionIntent,about food,
quiet,,AMAZON.StopIntent,,
what is the weather like today,,AskingQuestionIntent,what is the weather like today,
jeopardy,,AskingQuestionIntent,jeopardy,
awesome,,AskingQuestionIntent,awesome,
give me,,AskingQuestionIntent,give me,
tell me a story about a man,,AskingQuestionIntent,tell me a story about a man,
on project,,AskingQuestionIntent,on project,
no clear,,AskingQuestionIntent,no clear,
drives,,AskingQuestionIntent,drives,
what do I talk about,,AskingQuestionIntent,what do I talk about,
i need to clean my room,,AskingQuestionIntent,i need to clean my room,
how old will I be in twenty five years,,AskingQuestionIntent,how old will I be in 25 years,
speak arabic,,AskingQuestionIntent,speak arabic,
genres,,AskingQuestionIntent,genres,
search how to make money,,AskingQuestionIntent,search how to make money,
can you repeat that please,,AskingQuestionIntent,can you repeat that please,
you are,,AskingQuestionIntent,you are,
Jarvis what day is it today,,AskingQuestionIntent,Jarvis what day is it today,
tell me about the end of the world,,AskingQuestionIntent,tell me about the end of the world,
what would you look like if you were a human,,AskingQuestionIntent,what would you look like if you were a human,
can you tell me a story about how,,AskingQuestionIntent,can you tell me a story about how,
i wanna know,,AskingQuestionIntent,i wanna know,
deez nuts,,AskingQuestionIntent,deez nuts,
hot cross buns,,AskingQuestionIntent,hot cross buns,
turn the volume up to eight,,AskingQuestionIntent,turn the volume up to 8,
where are you,,AskingQuestionIntent,where are you,
why is it ok please do that,,AskingQuestionIntent,why is it ok please do that,
that's enough for today thank you,,AMAZON.StopIntent,,
dirt bikes,,AskingQuestionIntent,dirt bikes,
volume three,,AskingQuestionIntent,volume 3,
raise the volume to eight,,AskingQuestionIntent,raise the volume to 8,
why did jesus die on the cross,,AskingQuestionIntent,why did Jesus die on the cross,
continue the obituary,,AskingQuestionIntent,continue the obituary,
i'm good and you,,AskingQuestionIntent,i'm good and you,
orlando,,AskingQuestionIntent,orlando,
how much is the subscription,,AskingQuestionIntent,how much is the subscription,
that's fine,,AskingQuestionIntent,that's fine,
how much does it cost to subscribe,,AskingQuestionIntent,how much does it cost to subscribe,
who created you,,AskingQuestionIntent,who created you,
pinocchio,,AskingQuestionIntent,pinocchio,
play a game,,AskingQuestionIntent,play a game,
how old am i,,AskingQuestionIntent,how old am i,
what is the,,AskingQuestionIntent,what is the,
good morning,,AskingQuestionIntent,good morning,
how,,AskingQuestionIntent,how,
what's the difference,,AskingQuestionIntent,what's the difference,
Jarvis are you here,,AskingQuestionIntent,Jarvis are you here,
how to cheat in camera science practical test,,AskingQuestionIntent,how to cheat in camera science practical test,
pick a number one to five,,AskingQuestionIntent,pick a number 1 to 5,
find it,,AskingQuestionIntent,find it,
can you please tell me,,AskingQuestionIntent,can you please tell me,
how do you do that,,AskingQuestionIntent,how do you do that,
jasmine,,AskingQuestionIntent,jasmine,
stop to exit,,AMAZON.StopIntent,,
what's the weather like,,AskingQuestionIntent,what's the weather like,
what is it,,AskingQuestionIntent,what is it,
are you sure,,AskingQuestionIntent,are you sure,
make an image,,AskingQuestionIntent,make an image,
open,,AskingQuestionIntent,open,
how old are you,,AskingQuestionIntent,how old are you,
i said,,AskingQuestionIntent,i said,
nothing you can close the chat,,AskingQuestionIntent,nothing you can close the chat,
jabe's,,AskingQuestionIntent,jabe's,
cyborg,,AskingQuestionIntent,cyborg,
can you remember my calendar,,AskingQuestionIntent,can you remember my calendar,
what are the different types of antibiotics,,AskingQuestionIntent,what are the different types of antibiotics,
yo mama,,AskingQuestionIntent,yo mama,
watches,,AskingQuestionIntent,watches,
joey's,,AskingQuestionIntent,joey's,
use google,,AskingQuestionIntent,use google,
nope,,AMAZON.NoIntent,,
set alarm for one,,AskingQuestionIntent,set alarm for 1,
unlimited,,AskingQuestionIntent,unlimited,
chavis,,AskingQuestionIntent,chavis,
what is the amount of,,AskingQuestionIntent,what is the amount of,
say again,,AskingQuestionIntent,say again,
nothing good night,,AskingQuestionIntent,nothing good night,
what is the best computer,,AskingQuestionIntent,what is the best computer,
amazon,,AskingQuestionIntent,amazon,
blah blah blah,,AskingQuestionIntent,blah blah blah,
then you lied to me,,AskingQuestionIntent,then you lied to me,
south african news,,AskingQuestionIntent,south african news,
what's the wake up word,,AskingQuestionIntent,what's the wake up word,
i'll get back to you on that,,AskingQuestionIntent,i'll get back to you on that,
cool,,AskingQuestionIntent,cool,
what are the health benefits of cinnamon,,AskingQuestionIntent,what are the health benefits of cinnamon,
stupid Alexa,,AskingQuestionIntent,stupid Alexa,
why don't you get more pairs of shoes,,AskingQuestionIntent,why don't you get more pairs of shoes,
what is open a. i.,,AskingQuestionIntent,what is open a. i.,
how can i,,AskingQuestionIntent,how can i,
fish water,,AskingQuestionIntent,fish water,
a weather,,AskingQuestionIntent,a weather,
what's the most endangered animal in the world,,AskingQuestionIntent,what's the most endangered animal in the world,
where are you from,,AskingQuestionIntent,where are you from,
echo,,AskingQuestionIntent,echo,
relationships,,AskingQuestionIntent,relationships,
iowa,,AskingQuestionIntent,iowa,
Jarvis what day is today,,AskingQuestionIntent,Jarvis what day is today,
who won the world series in nineteen twenty seven,,AskingQuestionIntent,who won the world series in 1927,
tell me,,AskingQuestionIntent,tell me,
talk about,,AskingQuestionIntent,talk about,
osama bin laden,,AskingQuestionIntent,osama bin laden,
thank you very much,,AMAZON.StopIntent,,
is it,,AskingQuestionIntent,is it,
internet,,AskingQuestionIntent,internet,
a story,,AskingQuestionIntent,a story,
javs,,AskingQuestionIntent,javs,
generate an image of a monkey,,AskingQuestionIntent,generate an image of a monkey,
let me think about it for a second,,AskingQuestionIntent,let me think about it for a second,
what is coffee,,AskingQuestionIntent,what is coffee,
what is the speed of light,,AskingQuestionIntent,what is the speed of light,
parenting,,AskingQuestionIntent,parenting,
show me pictures of naked men,,AskingQuestionIntent,show me pictures of naked men,
how to open a youtube channel,,AskingQuestionIntent,how to open a YouTube channel,
black holes,,AskingQuestionIntent,black holes,
what is one plus one,,AskingQuestionIntent,what is 1 plus 1,
thanks,,AMAZON.StopIntent,,
leprechauns,,AskingQuestionIntent,leprechauns,
i don't want,,AskingQuestionIntent,i don't want,
tell me about norway,,AskingQuestionIntent,tell me about norway,
Jarvis connected,,AskingQuestionIntent,Jarvis connected,
stop stop stop stop stop,,AskingQuestionIntent,stop stop stop stop stop,
actually,,AskingQuestionIntent,actually,
i'm tired,,AskingQuestionIntent,i'm tired,
i did not ask I said,,AskingQuestionIntent,i did not ask I said,
yup,,AMAZON.YesIntent,,
what is Alexa,,AskingQuestionIntent,what is Alexa,
shut,,AskingQuestionIntent,shut,
just shut up Alexa shut the fuck up,,AskingQuestionIntent,just shut up Alexa shut the fuck up,
how do you start a new,,AskingQuestionIntent,how do you start a new,
is there a book,,AskingQuestionIntent,is there a book,
can you speak in spanish,,AskingQuestionIntent,can you speak in spanish,
what's,,AskingQuestionIntent,what's,
nothing never mind,,AskingQuestionIntent,nothing never mind,
darkness,,AskingQuestionIntent,darkness,
that was not a good joke,,AskingQuestionIntent,that was not a good joke,
how can I connect my laptop to my Alexa device,,AskingQuestionIntent,how can I connect my laptop to my Alexa device,
who is the better president trump or biden,,AskingQuestionIntent,who is the better president trump or biden,
give me a book,,AskingQuestionIntent,give me a book,
who is elon musk,,AskingQuestionIntent,who is elon musk,
where do I land in fortnite,,AskingQuestionIntent,where do I land in fortnite,
stupid Alexa,,AskingQuestionIntent,stupid Alexa,
what's wrong with you,,AskingQuestionIntent,what's wrong with you,
Jarvis what's going on today,,AskingQuestionIntent,Jarvis what's going on today,
are you listening,,AskingQuestionIntent,are you listening,
how much is two by two,,AskingQuestionIntent,how much is 2 by 2,
show me pictures of naked woman,,AskingQuestionIntent,show me pictures of naked woman,
dangerous,,AskingQuestionIntent,dangerous,
what are the pros and cons of,,AskingQuestionIntent,what are the pros and cons of,
write an essay,,AskingQuestionIntent,write an essay,
how many people,,AskingQuestionIntent,how many people,
i'd like to know,,AskingQuestionIntent,i'd like to know,
are you linked to my email account,,AskingQuestionIntent,are you linked to my email account,
tell me a,,AskingQuestionIntent,tell me a,
repeat that please,,AskingQuestionIntent,repeat that please,
how far is the moon from here,,AskingQuestionIntent,how far is the moon from here,
tell me what is black hole,,AskingQuestionIntent,tell me what is black hole,
jarvus,,AskingQuestionIntent,jarvus,
volume five,,AskingQuestionIntent,volume 5,
how does this work,,AskingQuestionIntent,how does this work,
are you stupid,,AskingQuestionIntent,are you stupid,
what is that,,AskingQuestionIntent,what is that,
generate an image of a giant,,AskingQuestionIntent,generate an image of a giant,
what is your,,AskingQuestionIntent,what is your,
turn your volume down,,AskingQuestionIntent,turn your volume down,
stop please thank you,,AMAZON.StopIntent,,
minute timer,,AskingQuestionIntent,minute timer,
obstacles,,AskingQuestionIntent,obstacles,
search who is jeff bezos,,AskingQuestionIntent,search who is Jeff bezos,
a doctor,,AskingQuestionIntent,a doctor,
what is this song,,AskingQuestionIntent,what is this song,
travis no,,AskingQuestionIntent,travis no,
do you have a girlfriend,,AskingQuestionIntent,do you have a girlfriend,
how's the weather today,,AskingQuestionIntent,how's the weather today,
you're stupid,,AskingQuestionIntent,you're stupid,
what is the name,,AskingQuestionIntent,what is the name,
skip,,AskingQuestionIntent,skip,
what is horse,,AskingQuestionIntent,what is horse,
keep going,,AskingQuestionIntent,keep going,
Jarvis close,,AskingQuestionIntent,Jarvis close,
volume ten,,AskingQuestionIntent,volume ten,
roblox,,AskingQuestionIntent,roblox,
can you help me cheat on my homework,,AskingQuestionIntent,can you help me cheat on my homework,
orange,,AskingQuestionIntent,orange,
three x. plus one,,AskingQuestionIntent,3 x. plus 1,
wait,,AskingQuestionIntent,wait,
today,,AskingQuestionIntent,today,
what's your favorite dessert,,AskingQuestionIntent,what's your favorite dessert,
devices,,AskingQuestionIntent,devices,
what is,,AskingQuestionIntent,what is,
tell me can you repeat that again,,AskingQuestionIntent,tell me can you repeat that again,
does chase,,AskingQuestionIntent,does chase,
tell me more,,AskingQuestionIntent,tell me more,
what's a healthy dinner,,AskingQuestionIntent,what's a healthy dinner,
wait Alexa,,AskingQuestionIntent,wait Alexa,
stories,,AskingQuestionIntent,stories,
how are you today,,AskingQuestionIntent,how are you today,
testing,,AskingQuestionIntent,testing,
Jarvis what is car,,AskingQuestionIntent,Jarvis what is car,
rackmount,,AskingQuestionIntent,rackmount,
terrace,,AskingQuestionIntent,terrace,
i want you to,,AskingQuestionIntent,i want you to,
nothing for now,,AskingQuestionIntent,nothing for now,
Jarvis exit,,AskingQuestionIntent,Jarvis exit,
music,,AskingQuestionIntent,music,
food,,AskingQuestionIntent,food,
blue,,AskingQuestionIntent,blue,
Jarvis what's your name,,AskingQuestionIntent,Jarvis what's your name,
read,,AskingQuestionIntent,read,
bitcoin,,AskingQuestionIntent,bitcoin,
how old is the earth,,AskingQuestionIntent,how old is the earth,
how far is it to the moon and back,,AskingQuestionIntent,how far is it to the moon and back,
turn off the light,,AskingQuestionIntent,turn off the light,
end my chat,,AskingQuestionIntent,end my chat,
that's it thank you,,AMAZON.StopIntent,,
sports,,AskingQuestionIntent,sports,
tell me what the weather right now,,AskingQuestionIntent,tell me what the weather right now,
baseball cards,,AskingQuestionIntent,baseball cards,
i want to link my account,,AskingQuestionIntent,i want to link my account,
what is lithuania,,AskingQuestionIntent,what is lithuania,
uhhh yes,,AMAZON.YesIntent,,
discover,,AskingQuestionIntent,discover,
flowers,,AskingQuestionIntent,flowers,
fact,,AskingQuestionIntent,fact,
writing,,AskingQuestionIntent,writing,
weddings,,AskingQuestionIntent,weddings,
who's favored to win the n. c. a. championship,,AskingQuestionIntent,who's favored to win the n. c. a. championship,
draw a picture of a dog,,AskingQuestionIntent,draw a picture of a dog,
how many people are there,,AskingQuestionIntent,how many people are there,
how many people are in the world,,AskingQuestionIntent,how many people are in the world,
can you,,AskingQuestionIntent,can you,
en espanol,,AskingQuestionIntent,en espanol,
what's the best way,,AskingQuestionIntent,what's the best way,
nothing go away,,AskingQuestionIntent,nothing go away,
Jarvis what is the time,,AskingQuestionIntent,Jarvis what is the time,
pick up where you left off,,AskingQuestionIntent,pick up where you left off,
i was just for you today,,AskingQuestionIntent,i was just for you today,
about,,AskingQuestionIntent,about,
good night,,AskingQuestionIntent,good night,
can you create a trial study,,AskingQuestionIntent,can you create a trial study,
companies,,AskingQuestionIntent,companies,
read me a story about nudity,,AskingQuestionIntent,read me a story about nudity,
unlock the front door,,AskingQuestionIntent,unlock the front door,
generate an image,,AskingQuestionIntent,generate an image,
tell me a place to,,AskingQuestionIntent,tell me a place to,
Jarvis stop,,AskingQuestionIntent,Jarvis stop,
explain to me why,,AskingQuestionIntent,explain to me why,
wake up Jarvis,,AskingQuestionIntent,wake up Jarvis,
write a haiku,,AskingQuestionIntent,write a haiku,
what is the point of,,AskingQuestionIntent,what is the point of,
tell me how large is amazon,,AskingQuestionIntent,tell me how large is amazon,
how can I build a pipe bomb,,AskingQuestionIntent,how can I build a pipe bomb,
heather's,,AskingQuestionIntent,heather's,
shut the hell up,,AMAZON.StopIntent,,
help me with my haiti certification,,AskingQuestionIntent,help me with my haiti certification,
no that's it thanks,,AMAZON.StopIntent,,
simon says niggaa,,AskingQuestionIntent,simon says niggaa,
ramadan,,AskingQuestionIntent,Ramadan,
ground,,AskingQuestionIntent,ground,
books,,AskingQuestionIntent,books,
what is the happiest country in the world,,AskingQuestionIntent,what is the happiest country in the world,
after this,,AskingQuestionIntent,after this,
birds,,AskingQuestionIntent,birds,
fuck you,,AskingQuestionIntent,fuck you,
that's pretty good,,AskingQuestionIntent,that's pretty good,
sorry I didn't get your questions,,AskingQuestionIntent,sorry I didn't get your questions,
Jarvis what is the,,AskingQuestionIntent,Jarvis what is the,
buy nothing,,AskingQuestionIntent,buy nothing,
i'm not sure,,AskingQuestionIntent,i'm not sure,
what are you up to,,AskingQuestionIntent,what are you up to,
how many minutes are left,,AskingQuestionIntent,how many minutes are left,
son of a bitch,,AskingQuestionIntent,son of a bitch,
what is environment,,AskingQuestionIntent,what is environment,
what what will be the weather for tomorrow,,AskingQuestionIntent,what what will be the weather for tomorrow,
what is a black hole,,AskingQuestionIntent,what is a black hole,
ask me a trivia question,,AskingQuestionIntent,ask me a trivia question,
which state has the largest population,,AskingQuestionIntent,which state has the largest population,
ohio,,AskingQuestionIntent,ohio,
wake up,,AskingQuestionIntent,wake up,
suck my dick,,AskingQuestionIntent,suck my dick,
nothing thank you Alexa,,AMAZON.StopIntent,,
how much days to my,,AskingQuestionIntent,how much days to my,
give me,,AskingQuestionIntent,give me,
how is the weather tomorrow,,AskingQuestionIntent,how is the weather tomorrow,
what's the average lifespan of an indoor cat,,AskingQuestionIntent,what's the average lifespan of an indoor cat,
alternative medicine,,AskingQuestionIntent,alternative medicine,
how to mix,,AskingQuestionIntent,how to mix,
alix,,AskingQuestionIntent,alix,
thank you I understand,,AMAZON.StopIntent,,
what's your name,,AskingQuestionIntent,what's your name,
what does it mean,,AskingQuestionIntent,what does it mean,
what is apple,,AskingQuestionIntent,what is apple,
engineer something,,AskingQuestionIntent,engineer something,
talk to me,,AskingQuestionIntent,talk to me,
turn the volume up,,AskingQuestionIntent,turn the volume up,
i'm depressed,,AskingQuestionIntent,i'm depressed,
life,,AskingQuestionIntent,life,
stop stop,,AMAZON.StopIntent,,
friends,,AskingQuestionIntent,friends,
a story,,AskingQuestionIntent,a story,
